customer_id,first_name,last_name,dob,gender,sin,phone,email,occupation,income_bracket,customer_segment,acquisition_channel,location_id,created_at,is_active
1,Michaela,Gutierrez,2003-10-07,Female,***-***-1006,530-831-1267,donnasullivan@example.net,Accountant,60K-100K,Emerging Affluent,Branch,161,2018-01-29,True
2,Lisa,Marshall,1994-10-02,Female,***-***-3780,(710) 283-0513 x486,robinsonjoseph@example.org,Retired,60K-100K,Mass Market,Branch,182,2016-06-28,True
3,Malik,Mcdonald,1970-10-12,Male,***-***-4262,(605) 134-0293,vanessa31@example.net,Nurse,60K-100K,Mass Market,Branch,113,2016-02-12,False
4,Alexis,Butler,1995-10-07,Female,***-***-7291,499.934.7866,wbecker@example.com,Software Developer,60K-100K,Emerging Affluent,Online,88,2016-08-27,True
5,Julia,Richardson,1991-01-02,Male,***-***-3881,1-183-120-3467,lisa37@example.org,Construction Worker,<30K,Mass Market,Mobile App,183,2015-04-13,True
6,Casey,Frazier,1976-04-13,Male,***-***-9702,(618) 243-3715 x739,hterry@example.net,Doctor,60K-100K,Emerging Affluent,Online,244,2019-10-23,True
7,Meghan,Wilson,2004-12-26,Female,***-***-3607,1-954-217-5421,evanchavez@example.com,Student,60K-100K,Emerging Affluent,Mobile App,166,2015-11-02,True
8,Brittany,Pearson,1978-04-08,Female,***-***-5499,767-521-8203 x858,pattersonzachary@example.com,Software Developer,30K-60K,Mass Market,Branch,124,2016-08-19,True
9,Samuel,Love,1954-05-31,Male,***-***-3503,1 (239) 136-7985,tom57@example.net,Student,30K-60K,Mass Market,Branch,157,2015-08-10,True
10,William,Martin,1990-11-17,Female,***-***-1320,696 762 8169,jenniferwelch@example.com,Business Owner,60K-100K,Mass Market,Mobile App,198,2016-02-22,True
11,Alexandra,Williamson,2008-01-02,Female,***-***-7865,741 139 3795,dnorris@example.org,Doctor,<30K,Mass Market,Referral,190,2015-04-06,True
12,William,Holden,1948-10-13,Male,***-***-7624,(750) 480-6085 x126,alicepeterson@example.com,Student,100K-200K,Emerging Affluent,Branch,170,2019-08-24,True
13,Lisa,Greene,1959-11-23,Female,***-***-2375,1 (766) 190-1696,coledawn@example.com,Retired,200K+,High Net Worth,Online,169,2017-10-01,True
14,Leslie,Dean,1991-05-03,Female,***-***-5558,(981) 231-1613 x045,james41@example.com,Construction Worker,30K-60K,Mass Market,Mobile App,158,2019-04-03,True
15,Robert,Serrano,1955-09-24,Male,***-***-2124,549.488.5313,dknight@example.net,Construction Worker,<30K,Mass Market,Mobile App,61,2021-03-15,True
16,Jason,Smith,1956-02-11,Male,***-***-2874,(145) 671-0944,fjacobs@example.com,Lawyer,100K-200K,Emerging Affluent,Mobile App,170,2018-02-07,True
17,John,Martinez,1940-10-01,Male,***-***-3683,1-197-071-8464,michaelharris@example.com,Accountant,100K-200K,High Net Worth,Branch,57,2019-03-16,False
18,Patricia,Martin,1978-11-10,Male,***-***-4978,+1 (741) 525-9631,aaronhernandez@example.org,Teacher,60K-100K,Emerging Affluent,Referral,128,2017-03-21,True
19,Scott,Simpson,1964-08-29,Male,***-***-8018,380 135 6096,mgomez@example.net,Retired,60K-100K,Mass Market,Online,180,2018-07-12,True
20,Jeremy,Brooks,2003-08-31,Male,***-***-8532,693-851-0463,williamchavez@example.com,Student,<30K,Mass Market,Branch,96,2015-12-18,True
21,Charles,Robinson,1941-12-25,Female,***-***-8136,468.199.8157,martinezmark@example.org,Business Owner,200K+,High Net Worth,Referral,119,2015-12-31,True
22,Jon,Perry,1988-01-20,Female,***-***-7209,+1 (375) 100-8716,jameswashington@example.com,Retail Worker,30K-60K,Mass Market,Branch,134,2017-09-02,True
23,Shelby,Moore,2004-09-10,Female,***-***-5526,1 (807) 006-2990,paulsmith@example.com,Doctor,30K-60K,Mass Market,Branch,99,2015-04-06,True
24,Anita,Young,1965-01-14,Female,***-***-9041,(437) 403-6353,cindy06@example.net,Software Developer,60K-100K,Mass Market,Referral,74,2018-12-03,True
25,Robert,Villa,1977-10-27,Female,***-***-6632,389 272 4021,johnsonpeter@example.net,Truck Driver,30K-60K,Mass Market,Mobile App,191,2015-05-07,True
26,Renee,Campbell,1987-02-21,Male,***-***-2958,+1 (422) 832-0562,jonesemily@example.com,Student,60K-100K,Mass Market,Online,246,2019-11-26,True
27,Grant,Glass,1969-11-05,Female,***-***-5636,1 (819) 143-3079,chelseajimenez@example.org,Teacher,30K-60K,Mass Market,Mobile App,126,2018-09-29,True
28,Brenda,White,1944-07-28,Non-binary,***-***-5786,535 839 3604,valerieparrish@example.com,Student,30K-60K,Mass Market,Mobile App,214,2020-09-11,True
29,Joan,Savage,1986-07-13,Male,***-***-4020,489-513-0682,kimberly62@example.com,Engineer,60K-100K,Emerging Affluent,Branch,173,2018-10-03,True
30,Cindy,Ferguson,1967-07-02,Male,***-***-5978,396.083.7492,huynhbryan@example.com,Teacher,<30K,Mass Market,Mobile App,81,2015-04-18,True
31,Anna,Robbins,1952-08-16,Male,***-***-8253,859 853 2627,zbailey@example.org,Accountant,30K-60K,Mass Market,Mobile App,160,2021-03-05,True
32,Michele,Hamilton,1989-04-17,Male,***-***-4457,1 (852) 049-9461,phelpsandrea@example.com,Accountant,60K-100K,Emerging Affluent,Referral,91,2020-01-09,True
33,Shannon,Palmer,1961-12-14,Male,***-***-1534,611-794-3429,jenniferclarke@example.com,Manager,60K-100K,Mass Market,Branch,123,2021-12-03,True
34,Susan,Bishop,1992-08-26,Female,***-***-4241,199-193-4945,srussell@example.net,Truck Driver,60K-100K,Emerging Affluent,Branch,108,2019-06-06,True
35,Shawna,Schneider,1998-10-10,Male,***-***-5728,645 842 5712,zwalters@example.com,Software Developer,100K-200K,Emerging Affluent,Branch,227,2016-02-03,True
